,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price
0,142275.0,148.0,585.0,263.0,512.0,422,36,5.0,8.0,2000.0,5.0,1690.0
1,142275.0,148.0,585.0,263.0,512.0,323,36,5.0,16.0,2000.0,5.0,1803.0
2,129698.0,,840.0,271.0,,299,36,5.0,16.0,2000.0,5.2,1803.0
3,129698.0,,840.0,271.0,,287,36,5.0,16.0,2000.0,5.2,1803.0
4,140736.0,161.0,670.0,282.0,,1047,10,5.71,16.0,3000.0,5.0,1999.0
5,236896.0,67.0,900.0,364.0,64.0,71,2,5.8,64.0,3400.0,4.1,10865.0
6,236896.0,67.0,900.0,364.0,64.0,424,2,6.21,32.0,3400.0,4.1,3999.0
7,228062.0,,646.0,360.0,16.0,134,6,6.21,64.0,3400.0,4.0,4973.0
8,228062.0,,646.0,360.0,16.0,477,3,6.21,128.0,3400.0,4.0,5100.0
9,237856.0,5.0,450.0,321.0,16.0,215,8,6.21,64.0,3400.0,4.0,4948.0
10,288348.0,48.0,650.0,460.0,,179,8,6.21,64.0,3400.0,5.1,4948.0
11,288348.0,48.0,650.0,460.0,,437,7,6.21,64.0,3400.0,5.1,5165.0
12,288348.0,48.0,650.0,460.0,,18,28,1.77,0.004,800.0,5.1,583.0
13,340599.0,43.0,750.0,539.0,256.0,262,31,1.77,,800.0,5.0,601.0
14,340599.0,43.0,750.0,539.0,256.0,274,31,1.77,,800.0,5.0,601.0
15,340599.0,43.0,750.0,539.0,256.0,507,2,1.8,0.004,800.0,5.0,552.0
16,420210.0,5.0,500.0,604.0,16.0,805,31,1.77,,800.0,4.0,536.0
17,420210.0,5.0,500.0,604.0,16.0,692,35,1.77,,800.0,4.0,547.0
18,420210.0,5.0,500.0,604.0,16.0,460,5,1.8,0.004,800.0,4.0,663.0
19,420210.0,5.0,500.0,604.0,16.0,455,5,1.8,0.004,800.0,4.0,663.0
20,420210.0,5.0,500.0,604.0,16.0,378,2,1.8,0.004,800.0,4.0,474.0
21,420210.0,5.0,500.0,604.0,16.0,59,1,1.8,0.004,800.0,4.0,499.0
22,420210.0,5.0,500.0,604.0,16.0,838,35,1.8,,800.0,4.0,596.0
23,420210.0,5.0,500.0,604.0,16.0,841,35,1.8,,800.0,4.0,596.0
24,420210.0,5.0,500.0,604.0,16.0,532,2,6.21,128.0,3400.0,4.0,5499.0
25,420210.0,5.0,500.0,604.0,16.0,444,2,6.21,128.0,3400.0,4.0,5499.0
26,420210.0,5.0,500.0,604.0,16.0,471,34,1.77,,800.0,4.0,710.0
27,420210.0,5.0,500.0,604.0,16.0,248,36,1.77,,800.0,4.0,702.0
28,420210.0,5.0,500.0,604.0,16.0,807,50,2.4,,1020.0,4.0,992.0
