,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price,model_name
0,142275.0,148.0,585.0,263.0,512.0,422,36,5.0,8.0,2000.0,5.0,1690.0,1 1/8GB Bluish Black (5033D-2JALUAA)
1,142275.0,148.0,585.0,263.0,512.0,323,36,5.0,16.0,2000.0,5.0,1803.0,1 5033D 1/16GB Volcano Black (5033D-2LALUAF)
5,236896.0,67.0,900.0,364.0,64.0,71,2,5.8,64.0,3400.0,4.1,10865.0,10 6/64GB Black
6,236896.0,67.0,900.0,364.0,64.0,424,2,6.21,32.0,3400.0,4.1,3999.0,10 Lite 3/32GB Blue
9,237856.0,5.0,450.0,321.0,16.0,215,8,6.21,64.0,3400.0,4.0,4948.0,10 lite 3/64GB Black
15,340599.0,43.0,750.0,539.0,256.0,507,2,1.8,0.004,800.0,5.0,552.0,105 Dual Sim New Black (A00028315)
18,420210.0,5.0,500.0,604.0,16.0,460,5,1.8,0.004,800.0,4.0,663.0,105 Single Sim New Black (A00028356)
19,420210.0,5.0,500.0,604.0,16.0,455,5,1.8,0.004,800.0,4.0,663.0,105 Single Sim New Black (A00028356)
20,420210.0,5.0,500.0,604.0,16.0,378,2,1.8,0.004,800.0,4.0,474.0,105 Single Sim New Blue (A00028372)
21,420210.0,5.0,500.0,604.0,16.0,59,1,1.8,0.004,800.0,4.0,499.0,105 Single Sim New White (A00028371)
24,420210.0,5.0,500.0,604.0,16.0,532,2,6.21,128.0,3400.0,4.0,5499.0,10i 4/128GB Black (51093VQV)
25,420210.0,5.0,500.0,604.0,16.0,444,2,6.21,128.0,3400.0,4.0,5499.0,10i 4/128GB Blue (51093VQX)
29,420210.0,5.0,500.0,604.0,16.0,490,1,5.45,128.0,3000.0,4.0,6584.0,15 4/128GB Black
30,420210.0,5.0,500.0,604.0,16.0,166,3,5.45,64.0,3000.0,4.0,5272.0,15 4/64GB Black
31,420210.0,5.0,500.0,604.0,16.0,125,3,5.45,64.0,3000.0,4.0,5272.0,15 4/64GB Black
32,420210.0,5.0,500.0,604.0,16.0,116,3,5.45,64.0,3000.0,4.0,5272.0,15 4/64GB Black
33,522587.0,43.0,750.0,756.0,128.0,666,1,5.95,64.0,3500.0,5.0,5328.0,15 Plus 6/64GB Black
34,522587.0,43.0,750.0,756.0,128.0,415,1,5.95,64.0,3500.0,5.0,5328.0,15 Plus 6/64GB Gray
48,77434.0,7.0,550.0,110.0,64.0,790,35,6.22,128.0,4000.0,4.1,3877.0,1SE 4/128GB Agate Green (5030E-2BALUA2)
49,77434.0,7.0,550.0,110.0,64.0,793,35,6.22,128.0,4000.0,4.1,3877.0,1SE 4/128GB Agate Green (5030E-2BALUA2)
50,77434.0,7.0,550.0,110.0,64.0,1052,1,5.71,16.0,3000.0,4.1,2299.0,2.2 2/16GB Black
51,77434.0,7.0,550.0,110.0,64.0,870,2,6.2,32.0,4000.0,4.1,2799.0,2.3 2/32GB Green
52,77434.0,7.0,550.0,110.0,64.0,1031,17,6.5,32.0,4500.0,4.1,3162.0,2.4 2/32GB Charcoal
53,77434.0,7.0,550.0,110.0,64.0,823,1,6.26,128.0,3750.0,4.1,9999.0,20 6/128GB Black
91,102378.0,43.0,1000.0,149.0,128.0,620,2,5.5,32.0,3000.0,5.0,3820.0,6.1 4/32GB Black
92,102378.0,43.0,1000.0,149.0,128.0,798,4,5.5,64.0,3000.0,5.0,3962.0,6.1 4/64GB Black
93,62253.0,2.0,500.0,96.0,8.0,202,1,5.8,64.0,3060.0,4.0,5020.0,6.1 Plus 4/64GB Blue
94,75966.0,2.0,320.0,128.0,4.0,329,1,6.5,64.0,4300.0,3.0,5777.0,6S 4/64GB Eclipse Black
95,75966.0,2.0,320.0,128.0,4.0,291,1,6.5,64.0,4300.0,3.0,5777.0,6S 4/64GB Eclipse Black
96,78390.0,5.0,400.0,101.0,8.0,953,5,6.5,128.0,4300.0,4.0,6078.0,6S 6/128GB Lunar White
97,78390.0,5.0,400.0,101.0,8.0,661,8,6.41,256.0,3700.0,4.0,15625.0,6T 8/256GB Midnight Black
98,160704.0,4.0,400.0,173.0,8.0,989,17,6.5,64.0,5000.0,4.0,4292.0,6i 3/64GB White
99,88595.0,5.0,450.0,134.0,8.0,1042,27,6.5,128.0,5000.0,4.2,4946.0,6i 4/128GB Green
100,88595.0,5.0,450.0,134.0,8.0,158,1,5.2,16.0,3100.0,4.2,2766.0,7 16GB (Gold)
