dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery
65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz","8 GB, 16 GB","5 in, LCD, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer"
65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz",8 GB,"5 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer"
65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz",8 GB,"5 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer"
65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz",8 GB,"5 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer"
71.2 x 147.3 x 9.35 mm,"4x 1.3 GHz ARM Cortex-A53,",Qualcomm Adreno 308,155 g,"1 GB, 672 MHz",16 GB,"5.71 in, IPS, 720 x 1520 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer"
73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer"
73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer"
73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer"
73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer"
73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer"
73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer"
