dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
72.1 x 147 x 8.5 mm,"4x 1.5 GHz ARM Cortex-A7,","IMG PowerVR SGX544 MP, 357 MHz,",165 g,"2 GB, 533 MHz",32 GB,"5 in, IPS, 1080 x 1920 pixels, 24 bit","4128 x 3096 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/e0642f93
74.5 x 154.2 x 7.9 mm,"4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53,","ARM Mali-G72 MP12,",178 g,"6 GB, 1833 MHz",256 GB,"6 in, AMOLED, 1080 x 2160 pixels, 24 bit","3968 x 2976 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.0, USB Type-C",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f40f4665
74.5 x 154.2 x 7.9 mm,"4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53,","ARM Mali-G72 MP12,",178 g,"6 GB, 1833 MHz",256 GB,"6 in, AMOLED, 1080 x 2160 pixels, 24 bit","3968 x 2976 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.0, USB Type-C",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f40f4665
85.4 x 174.6 x 8.15 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",232 g,"6 GB, 2133 MHz",128 GB,"7.2 in, OLED, 1080 x 2244 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi 6 (ax)","3.1, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/632250cb
72.3 x 157.8 x 8.6 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",189 g,"8 GB, 2133 MHz",256 GB,"6.39 in, OLED, 1440 x 3120 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.0, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/ecde4d4d
75.5 x 156.5 x 11.1 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",257 g,"8 GB, 12 GB, 3200 MHz","256 GB, 512 GB","6.5 in, OLED, 1176 x 2480 pixels, 30 bit","8190 x 6120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"4880 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/dec5594d
74.2 x 157.8 x 9.67 mm,"2x 2.2 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 470),","Qualcomm Adreno 618, 700 MHz",208 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.47 in, AMOLED, 1080 x 2340 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5260 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6e595386
74.2 x 157.8 x 9.67 mm,"2x 2.2 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 470),","Qualcomm Adreno 618, 700 MHz",208 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.47 in, AMOLED, 1080 x 2340 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5260 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6e595386
74.2 x 157.8 x 9.67 mm,"2x 2.2 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 470),","Qualcomm Adreno 618, 700 MHz",208 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.47 in, AMOLED, 1080 x 2340 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5260 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6e595386
74.2 x 157.8 x 9.7 mm,"2x 2.2 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 470),","Qualcomm Adreno 618, 700 MHz",208 g,"8 GB, 1866 MHz",256 GB,"6.47 in, AMOLED, 1080 x 2340 pixels, 24 bit","12032 x 9024 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5260 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f01e534f
