,dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url,Unnamed: 0
0,117.9 x 160.9 x 7.5 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",263 g,"12 GB, 2133 MHz",512 GB,"7.3 in, Dynamic AMOLED, 2152 x 1536 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.0,"4235 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/fb6151f4,434.0
1,117.9 x 160.9 x 7.5 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",263 g,"12 GB, 2133 MHz",512 GB,"7.3 in, Dynamic AMOLED, 2152 x 1536 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.0,"4235 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/fb6151f4,435.0
2,128.1 x 158.2 x 6.4 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",271 g,"12 GB, 3200 MHz","256 GB, 512 GB","7.6 in, Eco2 OLED, 2208 x 1768 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.2,"4400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/410e56f7,432.0
3,128.1 x 158.2 x 6.4 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",271 g,"12 GB, 3200 MHz","256 GB, 512 GB","7.6 in, Eco2 OLED, 2208 x 1768 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.2,"4400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/410e56f7,433.0
4,128.2 x 159.1 x 6.9 mm,"1x 3.09 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 670 MHz",282 g,"12 GB, 2750 MHz","256 GB, 512 GB","7.6 in, AMOLED, 2208 x 1768 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/bbea5401,543.0
5,164.8 x 79.2 x 18.15 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",364 g,"6 GB, 1800 MHz",64 GB,"5.7 in, IPS, 1080 x 2160 pixels, 24 bit","5312 x 3984 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.1,"10300 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/99cf5216,191.0
6,164.8 x 79.2 x 18.15 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",364 g,"6 GB, 1800 MHz",64 GB,"5.7 in, IPS, 1080 x 2160 pixels, 24 bit","5312 x 3984 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.1,"10300 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/ed095214,190.0
7,205 x 125 x 8.9 mm,"Intel Bay Trail, 1830 MHz,","Intel HD Graphics, 646 MHz",360 g,"2 GB, 1333 MHz",16 GB,"8 in, IPS, 1200 x 800 pixels, 24 bit",1600 x 1200 pixels,"b, g, n","2.0, Micro USB",4.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/dac53516,135.0
8,205 x 125 x 8.9 mm,"Intel Bay Trail, 1830 MHz,","Intel HD Graphics, 646 MHz",360 g,"2 GB, 1333 MHz",16 GB,"8 in, IPS, 1200 x 800 pixels, 24 bit",1600 x 1200 pixels,"b, g, n","2.0, Micro USB",4.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/dac53516,136.0
9,208.5 x 124 x 9.2 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 450 MHz,",321 g,"1 GB, 800 MHz",16 GB,"8 in, IPS, 1280 x 800 pixels, 24 bit","1600 x 1200 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"3800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/d27d5028,544.0
